,,Project Materials List,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Site Details,,,,,"DOES NOT CONTAIN ANY JOINERY MATERIALS (JOISTS, STUD WORK, FLOORING) or ACO DRAINS",,,,,,,,,
,,Enquiry ID:,,,,,,,,,,,,,,
,,Client Name,,,,,,,,,,,,,,
,,First Line of site address,,,,,,,,,,,,,,
,,Town / City,,,,,,,,,,,,,,
,,County,,,,,,,,,,,,,,
,,Site Post Code,,,,,,,,,,,,,,
Filter,,,,,,,,,,,,,,,,
0,,Wykamol Hydradry Tanking Slurry – 20kg,0,20kg Container,,,7 mtrs coverage per tub,https://www.preservationshop.co.uk/product/hydradry-tanking-slurry/,, £21.70 , £-   ,,£0.00,,£0.00,
0,,Wykamol Renovating Plaster – 20kg Bag,0,20kg Bag,,,Wykamol suggest 3 m² / 20 Kg bag when applied at a thickness of 10 mm,https://www.preservationshop.co.uk/product/renovating-plaster/,, £16.25 , £-   ,,£0.00,,£0.00,
0,,Floor - Liquid Resin Floor Membranes ,,,,,,,,,,,Cost Sheet ,,,
0,,Item,Qty,UOM,Assigned To:,,Usage based on ,PS Product Link,,PS Item Cost,Total Cost,,Total Cost (inc %),,Variance,
0,,EP40 2 Pack resin Primer,0,5ltr Container,,,30 mtrs coverage per tub,https://www.preservationshop.co.uk/product/ep40-primer-coat/,, £56.70 , £-   ,,£0.00,,£0.00,
0,,EP40 2 Pack resin top coat,0,5ltr Container,,,30 mtrs coverage per tub,https://www.preservationshop.co.uk/product/wykamol-ep40-epoxy-floor-coating-5l-grey/,, £63.70 , £-   ,,£0.00,,£0.00,
0,,Grip grit,0,Bag,,,25 mtrs coverage per bag,https://www.preservationshop.co.uk/product/grip-grit/,, £2.08 , £-   ,,£0.00,,£0.00,
0,,Plastering & finishing,,,,,,,,,,,Cost Sheet ,,,
0,,Item,Qty,UOM,Assigned To:,,Usage based on ,PS Product Link,,PS Item Cost,Total Cost,,Total Cost (inc %),,Variance,
0,,"Plasterboards, 1220mm x 900mmx 9.5mm",0,Each,,,1 board covers 1.098 m2,n/a - on till only,, £8.24 , £-   ,,£0.00,,£0.00,#DIV/0!
0,,Plastering Stop Bead - 3m length,0,Each,,,n/a - as specified on the cost sheet.,n/a - on till only,, £1.00 , £-   ,,£0.00,,£0.00,
0,,Plastering Thin Coat Angle/Corner Bead - 2.4m length,0,Each,,,n/a - as specified on the cost sheet.,n/a - on till only,, £1.66 , £-   ,,£0.00,,£0.00,
0,,Plastering Thin Coat Angle/Corner Bead - 3m length,0,Each,,,n/a - as specified on the cost sheet.,n/a - on till only,, £2.49 , £-   ,,£0.00,,£0.00,
0,,Multi Finish Plaster – 25kg Bag – (British Gypsum Thistle),0,25kg Bag,,,1 bag does approx. 10m2,https://www.preservationshop.co.uk/product/multi-finish-plaster-25kg-bag-british-gypsum-thistle/,, £12.08 , £-   ,,£0.00,,£0.00,#DIV/0!
0,,Wykamol ISO-THERM – Thin Internal Wall Insulation (TIWI) – 0.95m x 7.5m,0.0,Rolls (7.125 m2 per roll),,,1 roll does 7.125 m2,https://www.preservationshop.co.uk/product/wykamol-iso-therm-thin-internal-wall-insulation-tiwi-1m-x-7-5m/,, £27.60 , £-   ,,£0.00,,£0.00,
0,,Wykamol ISO-THERM Adhesive For Thin Internal Wall Insulation (TIWI),0,Per 15kg tub,,,1 tub does 7.125 m2,https://www.preservationshop.co.uk/product/wykamol-iso-therm-adhesive-for-thin-internal-wall-insulation-tiwi/,, £38.50 , £-   ,,,,,
0,,Airbricks,,,,,,,,,,,Cost Sheet ,,,
0,,Item,Qty,UOM,Assigned To:,,Usage based on ,PS Product Link,,PS Item Cost,Total Cost,,Total Cost (inc %),,Variance,
0,,"Plastic Airbrick 9 x 3 (Beige, Black or Terracotta)",0,Each,,,2 plastic airbricks make 1 actual installed airbrick,https://www.preservationshop.co.uk/product/plastic-air-brick-9-x-3/,, £1.66 , £-   ,,£0.00,,£0.00,
0,,Spray Treatments,,,,,,,,,,,Cost Sheet ,,,
0,,Item,Qty,UOM,Assigned To:,,Usage based on ,PS Product Link,,PS Item Cost,Total Cost,,Total Cost (inc %),,Variance,
0,,Wykamol Microtech Dual Purpose Concentrate - 400g,0,400g bottle,,,400 g makes up to 25 Litres - 100m2 coverage,https://www.preservationshop.co.uk/product/wykamol-microtech-dual-purpose-concentrate/,, £20.97 , £-   ,,£0.00,,£0.00,
0,,External Wall - Aquaban Water Repellant Treatments,,,,,,,,,,,Cost Sheet ,,,
0,,Item,Qty,UOM,Assigned To:,,Usage based on ,PS Product Link,,PS Item Cost,Total Cost,,Total Cost (inc %),,Variance,
0,,Wykamol Enviroseal Liquid Water Repellent - 5ltr,0,5ltr Container,,,Based on 25 m2 per 5ltr container,https://www.preservationshop.co.uk/product/wykamol-enviroseal-liquid-water-repellent/,, £12.50 , £-   ,,£0.00,,£0.00,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
